station,service,first_time_utc,last_time_utc,start_date_utc,end_date_utc,interval_min,frames,station_series,camera,actuation_start,actuation_end,body_model,body_sn,lens_model,focal_length,lens_sn,time_accuracy_min,time_offset_s,time_drift_sday,time_reference,time_sources,notes
AK10b,20140611,2014-05-01 22:53:30.65,2014-06-11 21:30:56.63,2014-05-01,2014-05-15,30,478,2,nikon-d200-18-20,41670,42148,Nikon D200,,AF Nikkor 20mm f/2.8D,20,,0.05,-3074,,,"GPS photos (20140501, 20140611)",
AK10b,20140925,2014-06-11 21:32:17.73,2014-09-25 19:45:16.99,2014-06-29,2014-09-23,30,2402,2,nikon-d200-18-20,42149,44551,Nikon D200,,AF Nikkor 20mm f/2.8D,20,,0.05,-3074,-0.096,2014:06:11:22:23:32,"GPS Photos (20140611, 20140925)",
AK10b,20150324,2014-09-25 19:47:06.99,2015-03-24 19:03:08.94,2014-09-25,2014-11-18,30,1029,2,nikon-d200-18-20,44552,45581,Nikon D200,,AF Nikkor 20mm f/2.8D,20,,0.05,-2929.53,0.86387,2015:03:24:19:51:57.53,"GPS Photos (20140925, 20150324)",
AK10b,20150619,2015-03-24 19:07:07.12,2015-06-19 21:21:28.85,2015-03-24,2015-06-19,30,2933,2,nikon-d200-18-20,45582,48516,Nikon D200,,AF Nikkor 20mm f/2.8D,20,,0.5,-2910.785,0.215,2015:06:19:22:11:25.785,"GPS Photos (20150324, 20150619). Suspect phone at 20150619.",
AK10b,20150918,2015-06-19 21:22:41.19,2015-09-18 19:50:55.86,2015-06-19,2015-09-18,30,2724,2,nikon-d200-18-20,48517,51240,Nikon D200,,AF Nikkor 20mm f/2.8D,20,,0.5,-2883.44,0.301,2015:09:18:20:38:56.24,"GPS Photos (20150619, 20150918). Suspect phone at both.",
AK10b,20160508,2015-09-18 19:52:21.51,2016-05-08 17:49:14.11,2015-09-18,2016-01-02,30,1800,2,nikon-d200-18-20,51241,53041,Nikon D200,,AF Nikkor 20mm f/2.8D,20,,1,-2744.170,0.581,2016:05:08:18:34:51.330,See Timelapse clocks,
AK10b,20160908,2016-05-08 17:50:24.31,2016-09-09 00:20:15.33,2016-05-26,2016-09-08,60,1873,2,nikon-d200-18-20,53042,54915,Nikon D200,,AF Nikkor 20mm f/2.8D,20,,1,-2746.0800,-0.0073,2016:11:03:22:41:20.080,See Timelapse clocks,
AK10b,20161103,2016-09-09 01:13:16.41,2016-11-03 21:55:50.16,2016-09-09,2016-11-03,60,385,2,nikon-d200-18-20,54930,55315,Nikon D200,,AF Nikkor 20mm f/2.8D,20,,1,-2746.0800,-0.0073,2016:11:03:22:41:20.080,See Timelapse clocks,
AK10b,20170512,2016-11-03 21:57:08.99,2017-05-12 19:25:29.69,2016-11-03,2017-03-25,60,920,2,nikon-d200-18-20,55316,56237,Nikon D200,,AF Nikkor 20mm f/2.8D,20,,1,-2541.8100,1.0757,2017:05:12:20:07:51.000,See Timelapse clocks,
AK11,20100518,2009-10-24 02:02:17.90,2010-05-24 19:02:39.00,2009-10-25,2010-02-15,30,1580,1,nikon-d200-15-20,38168,39747,Nikon D200,3169554,AF Nikkor 20mm f/2.8D,20,,2,-3380,,,GPS Photos (20100517/24),
AK12,20100820,2010-08-20 12:49:59.48,2010-08-20 23:15:03.05,2010-08-20,2010-08-20,,75,1,nikon-d300s,12561,12635,Nikon D300S,3003107,AF Nikkor 20mm f/2.8D,20,,0.01,0,,,GPS Photos (20100820),
AK12,20110516,2010-08-20 23:15:31.00,2011-02-27 02:48:41.88,2010-08-20,2011-02-27,30,2974,1,nikon-d300s,12636,15609,Nikon D300S,3003107,AF Nikkor 20mm f/2.8D,20,,0.05,0,1.101,2010:08:20:23:12:06,GPS Notes (20110516),
AK12,20110613,2011-05-16 20:24:01.49,2011-06-14 00:51:50.98,2011-05-16,2011-06-14,30,1024,1,nikon-d300s,15610,16633,Nikon D300S,3003107,AF Nikkor 20mm f/2.8D,20,,0.05,301.930,0.210,2011:06:14:01:19:23.140,GPS Photos (20110614),
AK12,20111009,2011-06-14 01:24:24.59,2011-10-09 19:36:57.09,2011-06-14,2011-08-25,30,2081,1,nikon-d300s,16634,18715,Nikon D300S,3003107,AF Nikkor 20mm f/2.8D,20,,0.05,335.360,0.284,2011:10:09:19:31:18.780,GPS Photos (20111009),
AK12b,20120118,2011-11-26 23:02:25.08,2012-01-14 01:17:24.00,2011-11-26,2012-01-14,20,784,2,nikon-d200-16-20,6490,7273,Nikon D200,,AF Nikkor 20mm f/2.8D,20,507257,,,,,"No time calibration data available, but appears to be UTC.",
